nodes,gpus,ntasks,batch_size,prefetch,max_memory_usage
1,1,1,1,1,4505.30078125
1,1,1,1,2,4498.34765625
1,1,1,1,4,4439.8203125
1,1,1,1,8,4515.89453125
1,1,1,4,1,5529.4453125
1,1,1,4,2,5509.6640625
1,1,1,4,4,5579.57421875
1,1,1,4,8,7671.625
1,1,1,16,1,7658.18359375
1,1,1,16,2,7675.56640625
1,1,1,16,4,7649.8828125
1,1,1,16,8,12156.08984375
1,2,2,1,1,9606.296875
1,2,2,1,2,9645.8125
1,2,2,1,4,9682.99609375
1,2,2,1,8,9639.05859375
1,2,2,4,1,9535.98046875
1,2,2,4,2,9636.34765625
1,2,2,4,4,11696.8125
1,2,2,4,8,11691.640625
1,2,2,16,1,11737.28125
1,2,2,16,2,15977.69140625
1,2,2,16,4,15993.22265625
1,2,2,16,8,24412.69921875
1,3,3,1,1,14131.44921875
1,3,3,1,2,14269.4375
1,3,3,1,4,14235.0078125
1,3,3,1,8,14257.69140625
1,3,3,4,1,17386.96484375
1,3,3,4,2,17298.58203125
1,3,3,4,4,17409.765625
1,3,3,4,8,23760.8125
1,3,3,16,1,23710.88671875
1,3,3,16,2,23685.76953125
1,3,3,16,4,23664.21484375
1,3,3,16,8,36326.8828125
1,4,4,1,1,18732.1015625
1,4,4,1,2,18898.3828125
1,4,4,1,4,18818.48046875
1,4,4,1,8,18907.21484375
1,4,4,4,1,23029.1015625
1,4,4,4,2,22948.86328125
1,4,4,4,4,22945.47265625
1,4,4,4,8,31457.04296875
1,4,4,16,1,31483.7734375
1,4,4,16,2,31408.0390625
1,4,4,16,4,31363.8046875
1,4,4,16,8,48502.80078125
2,1,1,1,1,5130.90234375
2,1,1,1,2,5160.7578125
2,1,1,1,4,5112.10546875
2,1,1,1,8,5163.08203125
2,1,1,4,1,6243.3359375
2,1,1,4,2,6214.16015625
2,1,1,4,4,6181.71484375
2,1,1,4,8,8321.140625
2,1,1,16,1,8263.3203125
2,1,1,16,2,8315.5
2,1,1,16,4,8343.1640625
2,1,1,16,8,12565.11328125
2,2,2,1,1,9542.93359375
2,2,2,1,2,9643.49609375
2,2,2,1,4,9635.05859375
2,2,2,1,8,9617.96875
2,2,2,4,1,9562.8828125
2,2,2,4,2,9523.9375
2,2,2,4,4,11662.97265625
2,2,2,4,8,11672.67578125
2,2,2,16,1,11679.390625
2,2,2,16,2,15961.515625
2,2,2,16,4,15888.05078125
2,2,2,16,8,24427.45703125
2,3,3,1,1,14108.7421875
2,3,3,1,2,14045.84375
2,3,3,1,4,14151.4296875
2,3,3,1,8,14181.953125
2,3,3,4,1,17260.89453125
2,3,3,4,2,17206.015625
2,3,3,4,4,17286.3046875
2,3,3,4,8,23560.76171875
2,3,3,16,1,23522.21875
2,3,3,16,2,23587.10546875
2,3,3,16,4,23625.734375
2,3,3,16,8,36322.38671875
2,4,4,1,1,18571.58984375
2,4,4,1,2,18682.94140625
2,4,4,1,4,18698.79296875
2,4,4,1,8,18738.77734375
2,4,4,4,1,22854.51171875
2,4,4,4,2,22898.015625
2,4,4,4,4,22884.3359375
2,4,4,4,8,31241.0234375
2,4,4,16,1,31263.99609375
2,4,4,16,2,31235.33984375
2,4,4,16,4,31271.3359375
2,4,4,16,8,48274.81640625
3,1,1,1,1,5171.6875
3,1,1,1,2,5182.33984375
3,1,1,1,4,5206.77734375
3,1,1,1,8,5177.8203125
3,1,1,4,1,6250.50390625
3,1,1,4,2,6224.140625
3,1,1,4,4,6231.82421875
3,1,1,4,8,8312.91015625
3,1,1,16,1,8324.17578125
3,1,1,16,2,8309.84375
3,1,1,16,4,8332.6796875
3,1,1,16,8,12545.5859375
3,2,2,1,1,9590.28125
3,2,2,1,2,9580.41015625
3,2,2,1,4,9601.7890625
3,2,2,1,8,9589.6796875
3,2,2,4,1,9504.7734375
3,2,2,4,2,9532.3984375
3,2,2,4,4,11656.26953125
3,2,2,4,8,11679.92578125
3,2,2,16,1,11650.90625
4,1,1,1,1,4922.90234375
4,1,1,1,2,4991.3515625
4,1,1,1,4,4919.484375
4,1,1,1,8,4973.5234375
4,1,1,4,1,5980.15625
4,1,1,4,2,6004.22265625
4,1,1,4,4,6066.61328125
4,1,1,4,8,8102.09375
4,1,1,16,1,8111.796875
4,1,1,16,2,8113.82421875
4,1,1,16,4,8070.82421875
4,1,1,16,8,12311.65625
4,2,2,1,1,9290.03515625
4,2,2,1,2,9305.50390625
